index,plate_id,registration_state,plate_type,violation_code,school_zone_violations,violation_borough,violation_description,manhattan_96_below_fine,all_other_fine,fines,row_num,row_pct,cum_share,school_zone_violations_binned,red_light_violations
5552222,KGZ4938,OH,PAS,36,1,Queens,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,73984,0.024800721655946975,0.00933031104483846,1,0.0
5544727,KGX5978,NY,PAS,36,1,Queens,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,74984,0.02513593902262013,0.009456421892237776,1,0.0
5574366,KHE3115,NY,PAS,36,1,Staten Island,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,75983,0.02547082117192662,0.009582406628789694,1,0.0
5564942,KHB5097,NY,PAS,36,1,Brooklyn,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,76983,0.025806038538599776,0.009708517476189012,1,0.0
5396684,KFB5705,NY,PAS,36,1,Bronx,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,77982,0.02614092068790626,0.00983450221274093,1,0.0
5386833,KEX1667,NY,PAS,36,1,Bronx,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,78982,0.02647613805457942,0.009960613060140245,1,1.0
5409233,KFK4192,NY,PAS,36,1,Staten Island,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,79982,0.02681135542125258,0.010086723907539561,1,2.0
5401429,KFF8491,NY,PAS,36,1,Brooklyn,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,80982,0.02714657278792574,0.01021283475493888,1,1.0
5361545,KES1546,NY,PAS,36,1,Brooklyn,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,81982,0.0274817901545989,0.010338945602338195,1,0.0
5354202,KEP8516,NY,PAS,36,1,Brooklyn,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,82982,0.027817007521272055,0.010465056449737513,1,0.0
5379595,KEV6682,NY,PAS,36,1,Queens,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,83982,0.028152224887945214,0.01059116729713683,1,1.0
5371742,KET8880,NY,PAS,36,1,Manhattan,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,84982,0.028487442254618373,0.010717278144536147,1,0.0
